,pass,data1,data2,data3,data4,classid
54,./characters/abraham_grampa_simpson/pic_0055.jpg,0,37,186,420,0
55,./characters/abraham_grampa_simpson/pic_0056.jpg,6,8,198,423,0
56,./characters/abraham_grampa_simpson/pic_0057.jpg,26,31,178,423,0
57,./characters/abraham_grampa_simpson/pic_0058.jpg,21,43,276,418,0
58,./characters/abraham_grampa_simpson/pic_0059.jpg,38,54,276,419,0
59,./characters/abraham_grampa_simpson/pic_0060.jpg,3,2,201,417,0
60,./characters/abraham_grampa_simpson/pic_0061.jpg,265,50,565,420,0
61,./characters/abraham_grampa_simpson/pic_0062.jpg,173,4,510,411,0
62,./characters/abraham_grampa_simpson/pic_0063.jpg,176,0,530,407,0
63,./characters/abraham_grampa_simpson/pic_0064.jpg,28,52,275,421,0
64,./characters/abraham_grampa_simpson/pic_0065.jpg,0,5,218,407,0
65,./characters/abraham_grampa_simpson/pic_0066.jpg,231,407,243,401,0
66,./characters/abraham_grampa_simpson/pic_0067.jpg,28,22,171,424,0
67,./characters/abraham_grampa_simpson/pic_0068.jpg,102,7,276,400,0
68,./characters/abraham_grampa_simpson/pic_0069.jpg,82,7,272,400,0
69,./characters/abraham_grampa_simpson/pic_0070.jpg,21,10,203,381,0
70,./characters/abraham_grampa_simpson/pic_0071.jpg,55,60,245,426,0
71,./characters/abraham_grampa_simpson/pic_0072.jpg,147,60,453,428,0
72,./characters/abraham_grampa_simpson/pic_0073.jpg,62,74,237,428,0
73,./characters/abraham_grampa_simpson/pic_0074.jpg,92,64,411,402,0
74,./characters/abraham_grampa_simpson/pic_0076.jpg,6,8,354,409,0
75,./characters/abraham_grampa_simpson/pic_0077.jpg,284,67,491,410,0
76,./characters/abraham_grampa_simpson/pic_0078.jpg,24,64,207,425,0
77,./characters/abraham_grampa_simpson/pic_0079.jpg,28,35,266,425,0
78,./characters/abraham_grampa_simpson/pic_0080.jpg,68,114,281,406,0
79,./characters/abraham_grampa_simpson/pic_0081.jpg,18,52,212,408,0
80,./characters/abraham_grampa_simpson/pic_0082.jpg,92,20,286,399,0
81,./characters/abraham_grampa_simpson/pic_0083.jpg,60,105,277,349,0
82,./characters/abraham_grampa_simpson/pic_0084.jpg,60,61,272,329,0
83,./characters/abraham_grampa_simpson/pic_0085.jpg,6,173,177,408,0
84,./characters/abraham_grampa_simpson/pic_0086.jpg,93,77,284,398,0
85,./characters/abraham_grampa_simpson/pic_0087.jpg,91,12,270,275,0
86,./characters/abraham_grampa_simpson/pic_0088.jpg,230,73,489,409,0
87,./characters/abraham_grampa_simpson/pic_0089.jpg,46,108,268,405,0
88,./characters/abraham_grampa_simpson/pic_0090.jpg,27,25,142,157,0
89,./characters/abraham_grampa_simpson/pic_0091.jpg,32,60,212,411,0
90,./characters/abraham_grampa_simpson/pic_0092.jpg,2,6,462,413,0
91,./characters/abraham_grampa_simpson/pic_0093.jpg,120,124,244,322,0
92,./characters/abraham_grampa_simpson/pic_0094.jpg,3,2,276,408,0
93,./characters/abraham_grampa_simpson/pic_0095.jpg,10,111,280,404,0
94,./characters/abraham_grampa_simpson/pic_0096.jpg,50,47,283,322,0
95,./characters/abraham_grampa_simpson/pic_0097.jpg,33,115,261,408,0
96,./characters/abraham_grampa_simpson/pic_0098.jpg,46,88,234,388,0
97,./characters/abraham_grampa_simpson/pic_0099.jpg,6,55,214,271,0
98,./characters/abraham_grampa_simpson/pic_0101.jpg,5,53,171,407,0
99,./characters/abraham_grampa_simpson/pic_0102.jpg,45,85,197,407,0
100,./characters/abraham_grampa_simpson/pic_0103.jpg,131,11,488,410,0
101,./characters/abraham_grampa_simpson/pic_0104.jpg,164,10,397,392,0
102,./characters/abraham_grampa_simpson/pic_0105.jpg,41,13,263,406,0
103,./characters/abraham_grampa_simpson/pic_0106.jpg,94,60,467,405,0
104,./characters/abraham_grampa_simpson/pic_0107.jpg,178,10,570,409,0
105,./characters/abraham_grampa_simpson/pic_0109.jpg,18,42,278,396,0
106,./characters/abraham_grampa_simpson/pic_0110.jpg,90,14,279,401,0
107,./characters/abraham_grampa_simpson/pic_0111.jpg,15,35,223,401,0
108,./characters/abraham_grampa_simpson/pic_0112.jpg,36,77,277,405,0
109,./characters/abraham_grampa_simpson/pic_0113.jpg,38,6,232,407,0
110,./characters/abraham_grampa_simpson/pic_0114.jpg,79,37,416,400,0
111,./characters/abraham_grampa_simpson/pic_0115.jpg,116,4,444,406,0
112,./characters/abraham_grampa_simpson/pic_0116.jpg,117,17,448,406,0
113,./characters/abraham_grampa_simpson/pic_0117.jpg,65,4,488,414,0
114,./characters/abraham_grampa_simpson/pic_0118.jpg,47,35,421,409,0
115,./characters/abraham_grampa_simpson/pic_0119.jpg,21,113,274,400,0
116,./characters/abraham_grampa_simpson/pic_0120.jpg,5,0,270,399,0
117,./characters/abraham_grampa_simpson/pic_0121.jpg,12,42,227,405,0
118,./characters/abraham_grampa_simpson/pic_0122.jpg,189,14,542,405,0
119,./characters/abraham_grampa_simpson/pic_0123.jpg,5,4,331,405,0
120,./characters/abraham_grampa_simpson/pic_0124.jpg,7,94,249,408,0
121,./characters/abraham_grampa_simpson/pic_0125.jpg,98,144,276,402,0
122,./characters/abraham_grampa_simpson/pic_0126.jpg,134,75,376,406,0
123,./characters/abraham_grampa_simpson/pic_0127.jpg,0,122,249,315,0
124,./characters/abraham_grampa_simpson/pic_0128.jpg,3,4,280,406,0
125,./characters/abraham_grampa_simpson/pic_0129.jpg,54,34,233,407,0
126,./characters/abraham_grampa_simpson/pic_0130.jpg,134,105,280,406,0
127,./characters/abraham_grampa_simpson/pic_0131.jpg,178,13,529,409,0
128,./characters/abraham_grampa_simpson/pic_0132.jpg,180,14,495,409,0
129,./characters/abraham_grampa_simpson/pic_0133.jpg,91,11,468,349,0
130,./characters/abraham_grampa_simpson/pic_0134.jpg,33,29,451,411,0
131,./characters/abraham_grampa_simpson/pic_0135.jpg,174,35,393,394,0
132,./characters/abraham_grampa_simpson/pic_0136.jpg,26,85,191,399,0
133,./characters/abraham_grampa_simpson/pic_0137.jpg,15,92,230,384,0
134,./characters/abraham_grampa_simpson/pic_0138.jpg,193,14,556,403,0
135,./characters/abraham_grampa_simpson/pic_0139.jpg,4,103,158,421,0
136,./characters/abraham_grampa_simpson/pic_0140.jpg,37,133,250,408,0
137,./characters/abraham_grampa_simpson/pic_0141.jpg,55,82,175,396,0
138,./characters/abraham_grampa_simpson/pic_0142.jpg,60,66,263,320,0
139,./characters/abraham_grampa_simpson/pic_0143.jpg,21,8,242,401,0
140,./characters/abraham_grampa_simpson/pic_0144.jpg,129,19,422,470,0
141,./characters/abraham_grampa_simpson/pic_0145.jpg,193,23,513,425,0
142,./characters/abraham_grampa_simpson/pic_0146.jpg,146,34,428,409,0
143,./characters/abraham_grampa_simpson/pic_0147.jpg,140,52,411,402,0
144,./characters/abraham_grampa_simpson/pic_0148.jpg,61,66,225,278,0
145,./characters/abraham_grampa_simpson/pic_0149.jpg,76,54,264,463,0
146,./characters/abraham_grampa_simpson/pic_0150.jpg,51,5,284,401,0
147,./characters/abraham_grampa_simpson/pic_0151.jpg,37,71,314,405,0
148,./characters/abraham_grampa_simpson/pic_0152.jpg,143,115,311,384,0
149,./characters/abraham_grampa_simpson/pic_0153.jpg,73,69,197,379,0
150,./characters/abraham_grampa_simpson/pic_0154.jpg,123,92,301,387,0
151,./characters/abraham_grampa_simpson/pic_0155.jpg,128,26,402,343,0
152,./characters/abraham_grampa_simpson/pic_0156.jpg,107,32,414,359,0
153,./characters/abraham_grampa_simpson/pic_0157.jpg,155,14,457,457,0
154,./characters/abraham_grampa_simpson/pic_0158.jpg,167,16,541,474,0
155,./characters/abraham_grampa_simpson/pic_0159.jpg,4,54,169,357,0
156,./characters/abraham_grampa_simpson/pic_0160.jpg,1,28,208,463,0
157,./characters/abraham_grampa_simpson/pic_0161.jpg,46,59,256,470,0
158,./characters/abraham_grampa_simpson/pic_0162.jpg,53,44,297,463,0
159,./characters/abraham_grampa_simpson/pic_0163.jpg,134,16,310,462,0
160,./characters/abraham_grampa_simpson/pic_0164.jpg,1,7,167,406,0
161,./characters/abraham_grampa_simpson/pic_0165.jpg,137,4,286,407,0
162,./characters/abraham_grampa_simpson/pic_0166.jpg,13,58,229,338,0
163,./characters/abraham_grampa_simpson/pic_0168.jpg,53,86,265,404,0
164,./characters/abraham_grampa_simpson/pic_0169.jpg,109,84,308,396,0
165,./characters/abraham_grampa_simpson/pic_0170.jpg,41,110,251,409,0
166,./characters/abraham_grampa_simpson/pic_0171.jpg,65,94,300,394,0
167,./characters/abraham_grampa_simpson/pic_0172.jpg,194,36,517,398,0
168,./characters/abraham_grampa_simpson/pic_0173.jpg,111,90,296,392,0
169,./characters/abraham_grampa_simpson/pic_0174.jpg,44,124,244,400,0
170,./characters/abraham_grampa_simpson/pic_0175.jpg,70,107,303,397,0
171,./characters/abraham_grampa_simpson/pic_0176.jpg,25,93,240,406,0
172,./characters/abraham_grampa_simpson/pic_0177.jpg,57,120,275,409,0
173,./characters/abraham_grampa_simpson/pic_0178.jpg,82,94,303,404,0
174,./characters/abraham_grampa_simpson/pic_0179.jpg,11,47,150,405,0
175,./characters/abraham_grampa_simpson/pic_0180.jpg,42,48,243,319,0
176,./characters/abraham_grampa_simpson/pic_0181.jpg,47,164,220,406,0
177,./characters/abraham_grampa_simpson/pic_0182.jpg,21,19,216,363,0
178,./characters/abraham_grampa_simpson/pic_0183.jpg,36,89,243,398,0
179,./characters/abraham_grampa_simpson/pic_0184.jpg,141,43,371,400,0
180,./characters/abraham_grampa_simpson/pic_0185.jpg,92,100,303,399,0
181,./characters/abraham_grampa_simpson/pic_0186.jpg,24,83,224,406,0
182,./characters/abraham_grampa_simpson/pic_0187.jpg,29,8,213,399,0
183,./characters/abraham_grampa_simpson/pic_0188.jpg,26,38,225,288,0
184,./characters/abraham_grampa_simpson/pic_0189.jpg,25,37,234,291,0
185,./characters/abraham_grampa_simpson/pic_0190.jpg,53,23,276,328,0
186,./characters/abraham_grampa_simpson/pic_0191.jpg,6,61,169,407,0
187,./characters/abraham_grampa_simpson/pic_0192.jpg,114,82,305,397,0
188,./characters/abraham_grampa_simpson/pic_0193.jpg,66,64,252,363,0
189,./characters/abraham_grampa_simpson/pic_0194.jpg,121,68,283,413,0
190,./characters/abraham_grampa_simpson/pic_0195.jpg,188,8,386,364,0
191,./characters/abraham_grampa_simpson/pic_0196.jpg,156,50,359,367,0
192,./characters/abraham_grampa_simpson/pic_0197.jpg,129,91,287,425,0
193,./characters/abraham_grampa_simpson/pic_0198.jpg,127,32,366,372,0
194,./characters/abraham_grampa_simpson/pic_0199.jpg,129,86,259,332,0
195,./characters/abraham_grampa_simpson/pic_0200.jpg,144,46,383,392,0
196,./characters/abraham_grampa_simpson/pic_0201.jpg,55,46,238,293,0
197,./characters/abraham_grampa_simpson/pic_0202.jpg,18,17,258,393,0
198,./characters/abraham_grampa_simpson/pic_0203.jpg,128,60,370,414,0
199,./characters/abraham_grampa_simpson/pic_0204.jpg,142,53,379,398,0
200,./characters/abraham_grampa_simpson/pic_0205.jpg,154,56,378,384,0
201,./characters/abraham_grampa_simpson/pic_0206.jpg,62,57,269,388,0
202,./characters/abraham_grampa_simpson/pic_0207.jpg,158,19,466,420,0
203,./characters/abraham_grampa_simpson/pic_0208.jpg,29,57,271,409,0
204,./characters/abraham_grampa_simpson/pic_0209.jpg,3,31,106,286,0
205,./characters/abraham_grampa_simpson/pic_0210.jpg,142,42,352,376,0
206,./characters/abraham_grampa_simpson/pic_0211.jpg,72,47,270,371,0
207,./characters/abraham_grampa_simpson/pic_0212.jpg,184,43,440,421,0
208,./characters/abraham_grampa_simpson/pic_0213.jpg,65,38,273,368,0
209,./characters/abraham_grampa_simpson/pic_0214.jpg,144,74,399,389,0
210,./characters/abraham_grampa_simpson/pic_0215.jpg,129,96,267,323,0
211,./characters/abraham_grampa_simpson/pic_0216.jpg,126,72,403,420,0
212,./characters/abraham_grampa_simpson/pic_0217.jpg,136,43,455,411,0
213,./characters/abraham_grampa_simpson/pic_0218.jpg,15,213,160,406,0
214,./characters/abraham_grampa_simpson/pic_0219.jpg,27,20,272,435,0
215,./characters/abraham_grampa_simpson/pic_0220.jpg,185,31,500,467,0
216,./characters/abraham_grampa_simpson/pic_0221.jpg,193,27,503,468,0
217,./characters/abraham_grampa_simpson/pic_0222.jpg,40,27,278,425,0
218,./characters/abraham_grampa_simpson/pic_0223.jpg,9,49,141,207,0
219,./characters/abraham_grampa_simpson/pic_0224.jpg,33,130,240,424,0
220,./characters/abraham_grampa_simpson/pic_0225.jpg,155,42,518,455,0
221,./characters/abraham_grampa_simpson/pic_0226.jpg,95,70,239,344,0
222,./characters/abraham_grampa_simpson/pic_0227.jpg,170,24,497,464,0
223,./characters/abraham_grampa_simpson/pic_0228.jpg,56,27,306,470,0
224,./characters/abraham_grampa_simpson/pic_0229.jpg,164,19,498,455,0
225,./characters/abraham_grampa_simpson/pic_0230.jpg,11,136,206,406,0
226,./characters/abraham_grampa_simpson/pic_0231.jpg,7,41,249,464,0
227,./characters/abraham_grampa_simpson/pic_0232.jpg,60,18,284,341,0
228,./characters/abraham_grampa_simpson/pic_0233.jpg,155,5,433,306,0
229,./characters/abraham_grampa_simpson/pic_0234.jpg,103,76,246,344,0
230,./characters/abraham_grampa_simpson/pic_0235.jpg,99,46,286,354,0
231,./characters/abraham_grampa_simpson/pic_0236.jpg,54,39,270,378,0
232,./characters/abraham_grampa_simpson/pic_0237.jpg,6,133,211,423,0
233,./characters/abraham_grampa_simpson/pic_0238.jpg,42,146,278,476,0
234,./characters/abraham_grampa_simpson/pic_0239.jpg,21,15,258,470,0
235,./characters/abraham_grampa_simpson/pic_0240.jpg,5,3,206,345,0
236,./characters/abraham_grampa_simpson/pic_0241.jpg,232,24,525,471,0
237,./characters/abraham_grampa_simpson/pic_0242.jpg,124,75,205,167,0
238,./characters/abraham_grampa_simpson/pic_0243.jpg,20,11,496,347,0
239,./characters/abraham_grampa_simpson/pic_0244.jpg,101,68,233,342,0
240,./characters/abraham_grampa_simpson/pic_0245.jpg,19,13,280,432,0
241,./characters/abraham_grampa_simpson/pic_0246.jpg,125,15,532,462,0
242,./characters/abraham_grampa_simpson/pic_0247.jpg,11,127,208,402,0
243,./characters/abraham_grampa_simpson/pic_0248.jpg,46,30,281,369,0
244,./characters/abraham_grampa_simpson/pic_0249.jpg,155,17,502,342,0
245,./characters/abraham_grampa_simpson/pic_0250.jpg,183,10,458,348,0
246,./characters/abraham_grampa_simpson/pic_0251.jpg,144,13,470,344,0
247,./characters/abraham_grampa_simpson/pic_0252.jpg,116,10,446,428,0
248,./characters/abraham_grampa_simpson/pic_0253.jpg,154,10,444,337,0
249,./characters/abraham_grampa_simpson/pic_0254.jpg,126,20,452,333,0
250,./characters/abraham_grampa_simpson/pic_0255.jpg,181,43,506,456,0
251,./characters/abraham_grampa_simpson/pic_0256.jpg,82,78,187,313,0
252,./characters/abraham_grampa_simpson/pic_0257.jpg,43,12,285,343,0
253,./characters/abraham_grampa_simpson/pic_0258.jpg,30,20,253,321,0
254,./characters/abraham_grampa_simpson/pic_0259.jpg,1,26,158,339,0
255,./characters/abraham_grampa_simpson/pic_0260.jpg,97,305,4,39,0
256,./characters/abraham_grampa_simpson/pic_0261.jpg,2,17,155,421,0
257,./characters/abraham_grampa_simpson/pic_0262.jpg,59,52,264,341,0
258,./characters/abraham_grampa_simpson/pic_0263.jpg,183,26,308,335,0
259,./characters/abraham_grampa_simpson/pic_0264.jpg,187,52,310,429,0
260,./characters/abraham_grampa_simpson/pic_0265.jpg,157,23,281,421,0
261,./characters/abraham_grampa_simpson/pic_0266.jpg,5,71,123,416,0
262,./characters/abraham_grampa_simpson/pic_0267.jpg,75,168,258,420,0
263,./characters/abraham_grampa_simpson/pic_0268.jpg,112,25,373,366,0
264,./characters/abraham_grampa_simpson/pic_0269.jpg,23,53,220,296,0
265,./characters/abraham_grampa_simpson/pic_0270.jpg,65,85,266,338,0
266,./characters/abraham_grampa_simpson/pic_0271.jpg,23,58,221,315,0
267,./characters/abraham_grampa_simpson/pic_0272.jpg,37,159,142,337,0
268,./characters/abraham_grampa_simpson/pic_0273.jpg,25,13,261,417,0
269,./characters/abraham_grampa_simpson/pic_0274.jpg,106,20,390,374,0
270,./characters/abraham_grampa_simpson/pic_0275.jpg,27,77,205,370,0
271,./characters/abraham_grampa_simpson/pic_0276.jpg,25,86,178,378,0
272,./characters/abraham_grampa_simpson/pic_0277.jpg,144,45,441,416,0
273,./characters/abraham_grampa_simpson/pic_0278.jpg,69,36,260,414,0
274,./characters/abraham_grampa_simpson/pic_0279.jpg,207,40,445,467,0
275,./characters/abraham_grampa_simpson/pic_0280.jpg,23,77,198,367,0
276,./characters/abraham_grampa_simpson/pic_0281.jpg,109,103,204,309,0
277,./characters/abraham_grampa_simpson/pic_0282.jpg,50,114,143,318,0
278,./characters/abraham_grampa_simpson/pic_0283.jpg,87,98,260,340,0
279,./characters/abraham_grampa_simpson/pic_0284.jpg,186,81,390,414,0
280,./characters/abraham_grampa_simpson/pic_0285.jpg,33,167,177,343,0
281,./characters/abraham_grampa_simpson/pic_0286.jpg,30,163,173,332,0
282,./characters/abraham_grampa_simpson/pic_0288.jpg,57,73,263,338,0
283,./characters/abraham_grampa_simpson/pic_0289.jpg,20,67,195,362,0
284,./characters/abraham_grampa_simpson/pic_0291.jpg,169,63,284,292,0
285,./characters/abraham_grampa_simpson/pic_0292.jpg,148,64,286,303,0
286,./characters/abraham_grampa_simpson/pic_0293.jpg,41,60,200,331,0
287,./characters/abraham_grampa_simpson/pic_0296.jpg,229,49,376,273,0
288,./characters/abraham_grampa_simpson/pic_0297.jpg,209,78,306,221,0
289,./characters/abraham_grampa_simpson/pic_0298.jpg,62,142,158,252,0
290,./characters/abraham_grampa_simpson/pic_0300.jpg,191,44,417,334,0
291,./characters/abraham_grampa_simpson/pic_0301.jpg,146,50,393,399,0
292,./characters/abraham_grampa_simpson/pic_0302.jpg,1,23,150,405,0
293,./characters/abraham_grampa_simpson/pic_0304.jpg,4,1,506,405,0
294,./characters/abraham_grampa_simpson/pic_0308.jpg,35,56,133,220,0
295,./characters/abraham_grampa_simpson/pic_0313.jpg,50,52,215,254,0
296,./characters/abraham_grampa_simpson/pic_0315.jpg,48,128,200,314,0
297,./characters/abraham_grampa_simpson/pic_0320.jpg,137,12,286,384,0
298,./characters/abraham_grampa_simpson/pic_0321.jpg,428,412,1,4,0
299,./characters/abraham_grampa_simpson/pic_0324.jpg,3,20,150,197,0
300,./characters/abraham_grampa_simpson/pic_0325.jpg,166,7,553,464,0
301,./characters/abraham_grampa_simpson/pic_0326.jpg,10,36,194,344,0
302,./characters/abraham_grampa_simpson/pic_0327.jpg,59,45,199,219,0
303,./characters/abraham_grampa_simpson/pic_0333.jpg,139,15,225,187,0
304,./characters/abraham_grampa_simpson/pic_0336.jpg,208,33,385,331,0
305,./characters/abraham_grampa_simpson/pic_0337.jpg,65,68,182,273,0
306,./characters/abraham_grampa_simpson/pic_0338.jpg,82,28,232,275,0
307,./characters/abraham_grampa_simpson/pic_0339.jpg,189,30,282,418,0
308,./characters/abraham_grampa_simpson/pic_0340.jpg,251,11,532,328,0
309,./characters/abraham_grampa_simpson/pic_0342.jpg,162,55,268,244,0
310,./characters/abraham_grampa_simpson/pic_0344.jpg,131,17,238,212,0
311,./characters/abraham_grampa_simpson/pic_0345.jpg,234,1,429,338,0
312,./characters/abraham_grampa_simpson/pic_0346.jpg,209,45,296,214,0
313,./characters/abraham_grampa_simpson/pic_0349.jpg,246,20,405,333,0
314,./characters/abraham_grampa_simpson/pic_0350.jpg,164,72,281,266,0
315,./characters/abraham_grampa_simpson/pic_0351.jpg,104,28,305,309,0
316,./characters/abraham_grampa_simpson/pic_0352.jpg,102,11,256,359,0
317,./characters/abraham_grampa_simpson/pic_0354.jpg,124,19,291,245,0
318,./characters/abraham_grampa_simpson/pic_0365.jpg,71,68,248,306,0
319,./characters/abraham_grampa_simpson/pic_0366.jpg,85,9,231,272,0
320,./characters/abraham_grampa_simpson/pic_0367.jpg,262,3,515,386,0
321,./characters/abraham_grampa_simpson/pic_0368.jpg,19,5,282,350,0
322,./characters/abraham_grampa_simpson/pic_0369.jpg,72,65,246,283,0
323,./characters/abraham_grampa_simpson/pic_0370.jpg,17,4,283,393,0
324,./characters/abraham_grampa_simpson/pic_0371.jpg,175,56,281,280,0
325,./characters/abraham_grampa_simpson/pic_0373.jpg,184,2,366,412,0
326,./characters/abraham_grampa_simpson/pic_0374.jpg,95,67,283,369,0
327,./characters/abraham_grampa_simpson/pic_0376.jpg,117,70,258,276,0
328,./characters/abraham_grampa_simpson/pic_0379.jpg,48,5,286,430,0
329,./characters/abraham_grampa_simpson/pic_0380.jpg,4,5,235,418,0
330,./characters/abraham_grampa_simpson/pic_0383.jpg,88,31,268,375,0
331,./characters/abraham_grampa_simpson/pic_0385.jpg,106,35,268,302,0
332,./characters/abraham_grampa_simpson/pic_0387.jpg,162,94,282,323,0
333,./characters/abraham_grampa_simpson/pic_0389.jpg,101,37,281,347,0
334,./characters/abraham_grampa_simpson/pic_0393.jpg,83,26,283,303,0
335,./characters/abraham_grampa_simpson/pic_0395.jpg,0,8,277,420,0
336,./characters/abraham_grampa_simpson/pic_0399.jpg,161,4,437,406,0
337,./characters/abraham_grampa_simpson/pic_0400.jpg,74,0,283,413,0
338,./characters/abraham_grampa_simpson/pic_0401.jpg,204,11,437,391,0
339,./characters/abraham_grampa_simpson/pic_0402.jpg,274,12,424,347,0
340,./characters/abraham_grampa_simpson/pic_0406.jpg,93,39,275,349,0
341,./characters/abraham_grampa_simpson/pic_0410.jpg,146,8,474,392,0
342,./characters/abraham_grampa_simpson/pic_0411.jpg,59,18,285,414,0
343,./characters/abraham_grampa_simpson/pic_0415.jpg,189,5,460,395,0
344,./characters/abraham_grampa_simpson/pic_0418.jpg,148,18,303,285,0
345,./characters/abraham_grampa_simpson/pic_0419.jpg,160,4,399,356,0
346,./characters/abraham_grampa_simpson/pic_0421.jpg,197,2,434,409,0
347,./characters/abraham_grampa_simpson/pic_0424.jpg,168,5,398,363,0
348,./characters/abraham_grampa_simpson/pic_0425.jpg,246,19,428,363,0
349,./characters/abraham_grampa_simpson/pic_0427.jpg,32,11,233,358,0
350,./characters/abraham_grampa_simpson/pic_0428.jpg,3,30,159,365,0
351,./characters/abraham_grampa_simpson/pic_0429.jpg,18,33,240,364,0
352,./characters/abraham_grampa_simpson/pic_0430.jpg,2,17,151,412,0
353,./characters/abraham_grampa_simpson/pic_0431.jpg,2,8,175,397,0
354,./characters/abraham_grampa_simpson/pic_0433.jpg,3,12,159,269,0
355,./characters/abraham_grampa_simpson/pic_0436.jpg,5,108,113,267,0
356,./characters/abraham_grampa_simpson/pic_0439.jpg,20,31,196,345,0
357,./characters/abraham_grampa_simpson/pic_0440.jpg,2,4,121,306,0
358,./characters/abraham_grampa_simpson/pic_0442.jpg,100,85,277,307,0
359,./characters/abraham_grampa_simpson/pic_0444.jpg,0,53,150,404,0
360,./characters/abraham_grampa_simpson/pic_0445.jpg,4,51,151,423,0
361,./characters/abraham_grampa_simpson/pic_0447.jpg,64,40,198,338,0
362,./characters/abraham_grampa_simpson/pic_0450.jpg,148,10,286,319,0
363,./characters/abraham_grampa_simpson/pic_0454.jpg,219,18,286,419,0
364,./characters/abraham_grampa_simpson/pic_0456.jpg,187,5,287,425,0
365,./characters/abraham_grampa_simpson/pic_0457.jpg,75,2,233,247,0
366,./characters/abraham_grampa_simpson/pic_0458.jpg,134,12,284,355,0
